MSA,Population,Unnamed: 2,Unnamed: 3,Latitude,Longitude
"Anaheim-Santa Ana-Irvine, CA Metro Division","3,135,755",,,33.8308925,-117.9122186
"Arlington-Alexandria-Reston, VA-WV Metro Division","3,154,735",,,32.6856595,-97.1200372
"Atlanta-Sandy Springs-Roswell, GA Metro Division","4,913,673",,,33.9178967,-84.3794785
"Boston, MA Metro Division","2,031,206",,,42.3554334,-71.060511
"Cambridge-Newton-Framingham, MA Metro Division","2,434,041",,,52.2243104,0.09795781739130421
"Camden, NJ Metro Division","1,304,786",,,39.9448402,-75.1198911
"Chicago-Naperville-Schaumburg, IL Metro Division","7,075,391",,,41.80254535,-88.12826267083318
"Dallas-Plano-Irving, TX Metro Division","5,462,593",,,33.01062665,-96.72961263655765
"Detroit-Dearborn-Livonia, MI Metro Division","1,751,169",,,42.3340957,-83.16386843431019
"Elgin, IL Metro Division","755,246",,,42.03726,-88.2810994
"Everett, WA Metro Division","844,761",,,47.9793437,-122.2127011
"Fort Lauderdale-Pompano Beach-Sunrise, FL Metro Division","1,962,531",,,26.142048,-80.1817896
"Fort Worth-Arlington-Grapevine, TX Metro Division","2,637,444",,,32.73075955,-97.38596851074253
"Frederick-Gaithersburg-Bethesda, MD Metro Division","1,351,865",,,39.1379731,-77.1941003
"Lake County, IL Metro Division","708,760",,,39.0505411,-122.7776556
"Lake County-Porter County-Jasper County, IN Metro Division","723,428",,,39.0505411,-122.7776556
"Lakewood-New Brunswick, NJ Metro Division","2,514,461",,,45.3094245,-65.9786564
"Los Angeles-Long Beach-Glendale, CA Metro Division","9,663,345",,,33.8886571,-118.192206
"Marietta, GA Metro Division","1,393,588",,,33.9528472,-84.5496148
"Miami-Miami Beach-Kendall, FL Metro Division","2,686,867",,,,
"Montgomery County-Bucks County-Chester County, PA Metro Division","2,064,510",,,40.2754258,-75.2445632
"Nassau County-Suffolk County, NY Metro Division","2,904,885",,,41.0173227,-72.4525853
"New York-Jersey City-White Plains, NY-NJ Metro Division","11,864,322",,,41.0689775,-74.3401361
"Newark, NJ Metro Division","2,214,581",,,40.735657,-74.1723667
"Oakland-Fremont-Berkeley, CA Metro Division","2,777,213",,,37.7743098,-122.2086736
"Philadelphia, PA Metro Division","2,127,262",,,39.9527237,-75.1635262
"Rockingham County-Strafford County, NH Metro Division","453,932",,,36.3926798,-79.744144
"San Francisco-San Mateo-Redwood City, CA Metro Division","1,535,341",,,,
"San Rafael, CA Metro Division","254,407",,,37.9747795,-122.5316686
"Seattle-Bellevue-Kent, WA Metro Division","2,271,380",,,47.5840088,-122.14088865484513
"St Petersburg-Clearwater-Largo, FL Metro Division","961,596",,,27.8972332,-82.7113230475075
"Tacoma-Lakewood, WA Metro Division","928,696",,,47.1597652,-122.4835675
"Tampa, FL Metro Division","2,381,367",,,27.9477595,-82.458444
"Warren-Troy-Farmington Hills, MI Metro Division","2,591,135",,,38.8132676,-91.1440159
"Washington, DC-MD Metro Division","1,798,375",,,38.8950368,-77.0365427
"West Palm Beach-Boca Raton-Delray Beach, FL Metro Division","1,533,801",,,26.380723,-80.18737956780703
"Wilmington, DE-MD-NJ Metro Division","749,602",,,39.7459468,-75.546589
"Abilene, TX Metro Area","181,591",,,32.44645,-99.7475905
"Akron, OH Metro Area","698,398",,,41.083064,-81.518485
"Albany, GA Metro Area","145,508",,,42.6511674,-73.754968
"Albany, OR Metro Area","131,496",,,42.6511674,-73.754968
"Albany-Schenectady-Troy, NY Metro Area","904,682",,,42.753939,-73.7710658
"Albuquerque, NM Metro Area","922,296",,,35.0841034,-106.650985
"Alexandria, LA Metro Area","148,171",,,44.83495335,8.745030418605868
"Allentown-Bethlehem-Easton, PA-NJ Metro Area","873,555",,,40.651163100000005,-75.44225386838299
"Altoona, PA Metro Area","120,273",,,40.518681,-78.394736
"Amarillo, TX Metro Area","272,395",,,35.20729,-101.8371192
"Ames, IA Metro Area","125,156",,,50.536715,2.4086536
"Amherst Town-Northampton, MA Metro Area","162,502",,,,
"Anchorage, AK Metro Area","401,314",,,61.1758781,-149.1107333
"Ann Arbor, MI Metro Area","365,536",,,42.2813722,-83.7484616
"Anniston-Oxford, AL Metro Area","116,429",,,33.586809849999995,-85.85966095266272
"Appleton, WI Metro Area","246,433",,,44.2613967,-88.4069744
"Asheville, NC Metro Area","417,202",,,35.595363,-82.5508407
"Athens-Clarke County, GA Metro Area","222,060",,,33.9458693,-83.3557816
"Atlanta-Sandy Springs-Roswell, GA Metro Area","6,307,261",,,33.9178967,-84.3794785
"Atlantic City-Hammonton, NJ Metro Area","369,823",,,39.6295026,-74.8506426
"Auburn-Opelika, AL Metro Area","201,585",,,32.6111206,-85.43753670867665
"Augusta-Richmond County, GA-SC Metro Area","629,429",,,33.4709714,-81.9748429
"Austin-Round Rock-San Marcos, TX Metro Area","2,473,275",,,30.47092935,-97.67248461029627
"Bakersfield-Delano, CA Metro Area","913,820",,,35.712731,-118.7903683
"Baltimore-Columbia-Towson, MD Metro Area","2,834,316",,,8.4564026,-75.5377812
"Bangor, ME Metro Area","155,312",,,44.8016255,-68.7713289
"Barnstable Town, MA Metro Area","231,735",,,41.278228,-73.600649
"Baton Rouge, LA Metro Area","873,661",,,30.4494155,-91.1869659
"Battle Creek, MI Metro Area","133,366",,,42.3192548,-85.1824269
"Bay City, MI Metro Area","102,500",,,43.5944677,-83.8888648
"Beaumont-Port Arthur, TX Metro Area","395,479",,,29.967180499999998,-94.07974854678989
"Beckley, WV Metro Area","111,428",,,37.7781702,-81.1881557
"Bellingham, WA Metro Area","231,919",,,48.7525309,-122.46083928000118
"Bend, OR Metro Area","260,919",,,44.0581728,-121.3153096
"Billings, MT Metro Area","191,435",,,45.7874957,-108.49607
"Binghamton, NY Metro Area","243,792",,,42.098698,-75.9125187
"Birmingham, AL Metro Area","1,184,290",,,52.4796992,-1.9026911
